"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","合計"
"011 耕種農業","0.005395138308003005","0.10642472853743269","0.003937193765219552","0.00008112063356890697","0.0015162651439034076","0.007854412109514397","-0.000002605434806924563","0.00036223036792908987","0.8744315165692359","1.0"
"012 畜産","0.015604281745285522","0.23732803029476496","0.012444772966258963","0.0003611640324710931","0.00015743017773562598","0.023849151237132705","0.0002180280367338872","0.00041578330565494317","0.7096213582039623","1.0"
"013 農業サービス","0.0068208261301596846","0.26436549993374564","0.013343386389547407","0.001176696098736425","0.0011239685695738117","0.008175089000572079","0.000021823484912294544","0.00030443002920733697","0.7046682803635455","1.0"
"015 林業","0.0056257167782055514","0.08260266618668251","0.002629375689522378","0.00012407726593349799","0.007070268443515572","0.02182716306194933","0.14849680377360336","0.00007033275435099621","0.7315535960462368","1.0"
"017 漁業","0.005685763167567866","0.06067078977307578","0.0034683579721934417","0.000052635026880978576","0.000026375507863673697","0.00009858458896671546","0.0011595269897362599","0.000877870908370526","0.9279600960653448","1.0"
"061 金属鉱物","-","-","-","-","-","-","-","-","-","-"
"062 石炭・原油・天然ガス","-","-","-","-","-","-","-","-","-","-"
"063 非金属鉱物","-0.0024340816231135814","-0.0002827373027589394","0.000823714336199831","0.00020224990787876595","0.18794226221879035","0.08608051644756098","-0.00353603198510965","0.000765771637850478","0.7304383363627017","1.0"
"111 食料品","0.015403893079612064","0.3112128458427282","0.00982208166312793","0.00023045317625271553","0.00004744292607916339","0.00008833978024497206","0.003344086346410332","0.0005823806371528466","0.6592684765483918","1.0"
"112 飲料","0.015203196585416284","0.14272940227667988","0.002025109121151224","0.00002684829966204811","0.000028608218438115047","0.000045882232810366795","0.000483149452873357","0.00016734743953159936","0.8392904563734371","1.0"
"113 飼料・有機質肥料（別掲を除く。）","0.0019266545271658902","0.08385360557424885","0.004909639691136796","0.000449917223863143","0.0003657209609615511","0.0025488297727444035","0.00020891239884215986","0.00010282543429144678","0.9056338944167458","1.0"
"114 たばこ","-","-","-","-","-","-","-","-","-","-"
"151 繊維工業製品","0.00014193236428907037","0.004037075930037912","0.0004934118553830863","0.0000718938161576093","0.0002462083422223221","0.0017090747736515225","0.0004009739414732048","0.019324663223028032","0.9735747657537572","1.0"
"152 衣服・その他の繊維既製品","0.001666365027218635","0.06255014040539743","0.004445817404938896","0.0007439629511314942","0.0008465139444468019","0.006208225914490034","-0.0011582490684168922","0.0006849398254023003","0.9240122835953913","1.0"
"161 木材・木製品","0.0007911377283721846","0.010277733345992177","0.0017512750754830099","0.0002697166550496665","0.023285743412918516","0.07644822955731309","0.0004051452922272689","0.00019215114039797604","0.886578867792246","1.0"
"162 家具・装備品","0.0037781563655993754","0.05705228594492767","0.021953366510226707","0.0022543723216398967","0.00830895958405729","0.04804363298503143","0.0014347922219095407","0.0013384379461010988","0.855835996120507","1.0"
"163 パルプ・紙・板紙・加工紙","-0.0013585752787502576","0.0568025549006125","0.03955932288043463","0.005278797605608663","0.010649178873893604","0.026146658258999436","-0.006104614448829172","0.0014199045505135946","0.867606772657517","1.0"
"164 紙加工品","0.01821395464432044","0.15954250937970238","0.04641465682704055","0.0037662748689929397","0.007161876315915858","0.011278301733357608","-0.0013647000156941412","0.0012929296108695255","0.7536941966354949","1.0"
"191 印刷・製版・製本","0.01033006776407541","0.261732019986678","0.11320168519254246","0.023984528470297407","0.01000743572322548","0.017570120563676222","0.0014509071113417529","0.0010847985026534173","0.5606384366855099","1.0"
"201 化学肥料","0.002990896781671539","0.06567535243253479","0.002326910770954727","0.00011222677492053531","0.00575713497030688","0.004725775456804524","-0.00215284347102004","0.002739701294080006","0.9178248449897471","1.0"
"202 無機化学工業製品","0.001369033826846144","0.02857630969473838","0.009127283643242735","0.0015349533690288155","0.0037067922481819984","0.00469560862489036","0.00762321460761572","0.005266252497545082","0.9381005514879108","1.0"
"203 石油化学基礎製品","0.00003721461589731095","0.000939441340414971","0.0004125632617924415","0.00002810010706534309","0.0000606751559750532","0.0001055858696442016","0.006764241077692665","0.012671445531463571","0.9789807330400544","1.0"
"204 有機化学工業製品（石油化学基礎製品を除く。）","0.00013346139620407134","0.0033094391641738602","0.0008670117276030111","0.000060240355873472956","0.0002441314599619211","0.000433919974980418","0.0018795575395776254","0.020823742416158787","0.9722484959654669","1.0"
"205 合成樹脂","0.00021889424651129098","0.005137120765577651","0.0016325746905731333","0.00011115810849243937","0.000825323280495314","0.0016338375490240133","0.003614931788370876","0.014217454733910243","0.972608704837045","1.0"
"206 化学繊維","0.0009041214536616506","0.026231193837039677","0.0021722199053015204","0.0003523022194758338","0.0007258537901514217","0.004302671257266866","0.014225916639621073","0.012213000036473581","0.9388727208610084","1.0"
"207 医薬品","0.002155092130877134","0.030420784809353976","0.08242415835711367","0.00014187386654470222","0.000020333384491727228","0.00002797998977275714","0.0016631391473137468","0.0003178745408700372","0.8828287637736623","1.0"
"208 化学最終製品（医薬品を除く。）","0.001301399772491281","0.034367237151533524","0.003668151943579335","0.00029501026185229864","0.0016522318906314832","0.002907660244360197","0.005349362149942432","0.004407465909995505","0.946051480675614","1.0"
"211 石油製品","0.000638248860586536","0.045866868242151436","0.004663654746929916","0.0009636254907704073","0.003089379374272215","0.002524164664324288","0.010788067861554076","0.001762946608792841","0.9297030441506183","1.0"
"212 石炭製品","0.00033841943318184864","0.009271886158351622","0.002043323984422683","0.00026119972536936173","0.037486510278182256","0.0075547280802393795","0.009930439535437775","0.0015286438234865158","0.9315848489813285","1.0"
"221 プラスチック製品","0.00102114751989052","0.023358452519446456","0.0030762952038278805","0.0005911223530000006","0.004781963436712284","0.007135920916557765","0.0001903659032700401","0.0043028507500316665","0.9555418813972634","1.0"
"222 ゴム製品","0.001823486746515366","0.08698972447306963","0.017354178461388675","0.0030708690723980354","0.010943899885131256","0.009500778924324063","-0.013513580940604016","0.0054465831769241425","0.8783840602008528","1.0"
"231 なめし革・毛皮・同製品","0.009866339429484604","0.301498700932008","0.0047466420335986","0.0012715805523545473","0.0007092091670722954","0.0014296147640820817","-0.007770315510994469","0.004130996445188594","0.6841172321872058","1.0"
"251 ガラス・ガラス製品","0.00864908893729392","0.07278678692326672","0.031961480909630316","0.00361134399297436","0.022461211432700745","0.0810595904960401","-0.00506031073747102","0.020677029542291232","0.7638537785032736","1.0"
"252 セメント・セメント製品","0.00027601737620539635","0.020376167436002287","0.004770637468196629","0.0011701779537618522","0.23814423247596442","0.13833061410527964","-0.015623490760534169","0.0006536180542694063","0.6119020258908546","1.0"
"253 陶磁器","0.012522795237523138","0.09697421516645628","0.044616780846734753","0.002693846598660802","0.04991348845088951","0.1548460760453815","0.00047464485600083676","0.0014382028475250963","0.6365199499508281","1.0"
"259 その他の窯業・土石製品","0.0006888646019491105","0.024804739428704592","0.003952021819356919","0.0009083748001647243","0.02171080682718849","0.036435735947105224","0.0032506910821501135","0.0069386824543959036","0.901310083038985","1.0"
"261 銑鉄・粗鋼","0.00017553603397782764","0.005528685439613615","0.0024581228707237527","0.0002898615452164413","0.005452642426924861","0.003998673206422724","0.025147700654827614","0.0014920408595710893","0.955456736962722","1.0"
"262 鋼材","0.00011147958370095661","0.004135529846680077","0.0014385971511718448","0.00022538706652026002","0.010172000285511932","0.013771322585490395","0.02398948337129452","0.0030012990862814917","0.9431549010233485","1.0"
"263 鋳鍛造品","0.000011395530605226439","0.0003285023971271064","0.000060901442419612154","0.000023492140910516997","0.0010101553681226688","0.00456982939172153","0.00034530148928023813","0.0009214905572512911","0.9927289316825618","1.0"
"269 その他の鉄鋼製品","0.0001714587253782835","0.004647476680689214","0.0013510396847414379","0.00032450851979054724","0.003983350953905877","0.009943883256613216","0.0041835010574180695","0.0023642371095066866","0.9730305440119567","1.0"
"271 非鉄金属製錬・精製","0.00014814584995570196","0.02270395660647557","0.000984955160882878","0.0001257262777201049","0.0018685228598216534","0.002332788128696668","-0.0021811422362840913","0.007519354172606532","0.966497693180125","1.0"
"272 非鉄金属加工製品","0.0000843491574097595","0.0019616135599662358","0.0014542216945265896","0.00008366349284759007","0.0020524381753137346","0.0057265315695110165","-0.0016163549940184758","0.010156105362736947","0.9800974319817066","1.0"
"281 建設・建築用金属製品","0.00006543045055127069","0.005204120127028212","0.001106251372171033","0.00029351961923536487","0.016215995323550746","0.02994291838785879","0.00013562630937837545","0.00036358190418225405","0.9466725565060439","1.0"
"289 その他の金属製品","0.0017338571672807195","0.026696706181750525","0.005865923970628803","0.001869226743403239","0.00953867473175385","0.024161372647628524","-0.0015222194975045317","0.0031444207790523224","0.9285120372760065","1.0"
"291 はん用機械","0.000023578766760290237","0.001454341717153978","0.00023051003367661265","0.00008601817614845121","0.001636559341333284","0.02586106824301053","0.0018303772825866299","0.003534310250059543","0.9653432361892708","1.0"
"301 生産用機械","0.00005260000971697694","0.0031549826631183074","0.0005337846771393167","0.00014063536320611656","0.0014128597970665712","0.059192448185319615","-0.0007286734669704181","0.00938917331299314","0.9268521894584104","1.0"
"311 業務用機械","0.001181420591332141","0.042903704150742177","0.05564236605600397","0.006933283082365263","0.00845665144075193","0.13205943723409508","-0.0015913050843932729","0.005353297316947034","0.7490611452121557","1.0"
"321 電子デバイス","0.000570826520266427","0.033672047818796555","0.005952616604398097","0.0012269767091768057","0.004266523022558154","0.020033235093942954","0.005251715220482963","0.026017116774056496","0.9030089422363216","1.0"
"329 その他の電子部品","0.000573869765855649","0.03762492780521868","0.010016941370164893","0.003210133098709006","0.002800791540420279","0.007316558737636639","-0.0009569295154670896","0.008601007910592146","0.9308126992868698","1.0"
"331 産業用電気機器","0.00015371957022177477","0.010066534120958167","0.0017492086559204307","0.000456238385344791","0.012694411841503392","0.20584507204985003","0.0008617767175603345","0.008935099856086728","0.7592379388025543","1.0"
"332 民生用電気機器","0.000032316811952559434","0.0025123813969179652","0.000014048906246839433","0.00000585234380643663","0.00001872547501581035","0.00029285489512344097","-0.000010596227371947674","0.00032359736190218456","0.9968108190364067","1.0"
"333 電子応用装置・電気計測器","0.00001746883798998332","0.0013002218557270307","0.0014359567451616552","0.0004946128324880067","0.006318163682864216","0.03682927048467331","-0.0008021020311450506","0.030545676023807058","0.9238607315684338","1.0"
"339 その他の電気機械","0.0008202072502947983","0.0735306692424324","0.002809797671783191","0.0005855474741107155","0.012174701320831692","0.052488412423303765","0.02538997606059294","0.011191912796447458","0.821008775760203","1.0"
"341 通信機械・同関連機器","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"342 電子計算機・同附属装置","0.000003137302318893425","0.021642086420019236","0.000030110461033325653","0.000007768992106804127","0.002801138621382567","0.021535218996618758","-0.0012319010831439428","0.030001974769029775","0.9252104655206346","1.0"
"351 乗用車","-","-","-","-","-","-","-","-","-","-"
"352 その他の自動車","-","-","-","-","-","-","-","-","-","-"
"353 自動車部品・同附属品","0.00001478573480618383","0.000869495728641321","0.00014971427313304926","0.000038801070929212485","0.00007254378667835885","0.00007558793945050337","-0.000042343656323289605","0.006117734538571143","0.9927036805841136","1.0"
"354 船舶・同修理","0.00042277815170973056","0.014881210697618509","0.02615917875729302","0.012294112295488869","0.03028668270634802","0.23387695819009222","-0.006240424573915355","0.011464350025681158","0.6768551537496837","1.0"
"359 その他の輸送機械・同修理","0.00002536448760866642","0.0040947098347804516","0.002670124819221918","0.0012378348754104305","0.0013511145671323609","0.01938156763067406","0.00005104542303869278","0.0006483787716372477","0.9705398595904963","1.0"
"391 その他の製造工業製品","0.008781310414833403","0.08688907967043549","0.010656931121350027","0.0016934556756805763","0.007045560250349388","0.03349080155457746","-0.000997562566763893","0.0031595631787868176","0.8492808607007507","1.0"
"392 再生資源回収・加工処理","0.0012046474545594694","0.05363561836149627","0.005548263613266776","0.0007574783816644833","0.012898062547408053","0.008560553368648492","0.017594674762699748","0.0023381776306844325","0.8974625238795723","1.0"
"411 建築","0.0","0.0","0.0","0.0","0.2224817453299744","0.7775182546700257","0.0","0.0","0.0","1.0"
"412 建設補修","0.006339453958341854","0.4861781939335618","0.1130262576547875","0.03021746176827865","0.012335622710642844","0.017492981124285142","0.0034598342323426397","0.0011071950380747333","0.3298429995796848","1.0"
"413 公共事業","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0"
"419 その他の土木建設","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0"
"461 電力","0.006085914087179964","0.3380923923433223","0.044993113206160604","0.006593336178761966","0.009245773768615354","0.014357725081139585","0.0030747083230552546","0.0011458109283739384","0.576411226083391","1.0"
"462 ガス・熱供給","0.023084040403171323","0.42586203264703887","0.10262911645640385","0.014123256404607031","0.01269942088426652","0.02274243545605054","0.004263816062653804","0.0016070345895238124","0.39298884709628434","1.0"
"471 水道","0.013651652253005943","0.8438375279803003","-0.09171238573358423","0.03943102475765703","0.008949562421554856","0.013289983726643428","0.0012732706664391879","0.0006693791972370773","0.17060998473074637","1.0"
"481 廃棄物処理","0.01785894033491791","0.20893880845595467","0.4369172076137373","0.1225114926661872","0.0202560614179268","0.014368257919660385","0.000700439262170075","0.0003929909610192245","0.17805580136842633","1.0"
"511 商業","0.020191807846404848","0.519812637952818","0.03263647954288624","0.0027321585056519415","0.02142298825878226","0.06911855556179577","0.003405063452379467","0.0007736966424910702","0.32990661223679035","1.0"
"531 金融・保険","0.002884303978652051","0.7436273288601516","0.049388816484136414","0.015015376108230585","0.01875134250907174","0.019026622757561496","0.000969327855436751","0.00043098008446576015","0.1499059013622936","1.0"
"551 不動産仲介及び賃貸","0.014431252343890644","0.465041203077876","0.14939755787176737","0.006055001085250084","0.020719448856636943","0.044294942627717326","0.002347068422006373","0.0007335759395075962","0.29697994977534775","1.0"
"552 住宅賃貸料","0.0","0.9978055672458367","0.0021944327541634106","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"553 住宅賃貸料（帰属家賃）","0.0","0.9981356767966064","0.0018643232033936088","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"571 鉄道輸送","0.006571404554000475","0.4439069441615671","0.05977038676866439","0.014164436662494072","0.011250180708268298","0.013754206026635471","0.000951065174447125","0.0005203894714741049","0.44911098647244907","1.0"
"572 道路輸送（自家輸送を除く。）","0.018888383876398858","0.33702728762001954","0.03471280891148345","0.00581425726294939","0.02928573726493872","0.05085954347486867","0.005301105283402651","0.0009762973425701557","0.5171345789633687","1.0"
"573 自家輸送","-","-","-","-","-","-","-","-","-","-"
"574 水運","0.000743831739564527","0.03760999039911494","0.0038627917097291916","0.0005826120063037891","0.006524786328422221","0.006740213919589708","0.004771792711093505","0.00041852291565699126","0.9387454582705251","1.0"
"575 航空輸送","0.002277101682439435","0.14275808221465264","0.013891743926761256","0.0021024053359949843","0.0018638265181915403","0.0034901152511658913","0.00024738376612926517","0.00012045864807210071","0.833248882656593","1.0"
"576 貨物利用運送","0.0067771598387465345","0.16495333002259632","0.023032084594442427","0.002108236636552327","0.020709715729274963","0.036908940647993","0.005990917729867107","0.0008820658970657277","0.7386375489034617","1.0"
"577 倉庫","0.009420329237600491","0.20600662881770376","0.0627749185998171","0.019549278702955628","0.020846588113231087","0.03541678466599287","0.021875028446401126","0.0017973243252389004","0.6223131190910591","1.0"
"578 運輸附帯サービス","0.006668631303518588","0.349576093265776","0.01844463707352906","0.004268252142305539","0.016750529532329448","0.01895947722905751","0.0011635165394228038","0.00036537606736704114","0.583803486846694","1.0"
"579 郵便・信書便","0.01679353780809022","0.4978423049865654","0.1472004651773629","0.03954141134447251","0.018754920588361323","0.02194358859046117","0.00110875399495559","0.0005350420541636224","0.2562799754555675","1.0"
"591 通信","0.009096347578043597","0.748008063803814","0.029506087131812662","0.006061018754000711","0.010457760146942927","0.010775100193807636","0.0004985481004669315","0.00020051383741478103","0.18539656045369662","1.0"
"592 放送","0.01301207079178854","0.47907138406162675","0.010079642077049495","0.0008487740272482053","0.00234127490418861","0.003899274800931973","0.00025177448780753625","0.00013087122621500413","0.49036493362314393","1.0"
"593 情報サービス","0.004789817587826416","0.22765649516013672","0.05682249147245284","0.012007868069883637","0.06818419632561915","0.3752734698742442","0.0010220601341437835","0.0005319737321185199","0.25371162764357474","1.0"
"594 インターネット附随サービス","0.01582872632902244","0.5282947027036322","0.03601784232242471","0.007796465225719547","0.013411381857901783","0.029754474291094686","0.0014926486035190423","0.0006050395908436937","0.3667987190758417","1.0"
"595 映像・音声・文字情報制作","0.015743319166794806","0.37914071266064625","0.10701534893504888","0.019810500431917084","0.014032607900782562","0.029076787416183712","-0.000679221623493685","0.0005443341526218338","0.43531561095949856","1.0"
"611 公務","0.00007740157258107939","0.037497536654317","0.6410734673338164","0.31056363510961615","0.0008331180823709422","0.0011494708584010947","0.000029647910491748052","0.00001285590203958168","0.008762866576365927","1.0"
"631 教育","0.0002053057070321536","0.219454720729503","0.6368376409762384","0.07469763487860068","0.0006151115381882814","0.000982639072078514","0.000034265467733704346","0.00003020838913954694","0.06714247324148565","1.0"
"632 研究","0.0018642542006464418","0.06660018435882006","0.19954632746069473","0.025024069359034815","0.010349144384366755","0.018072078630600123","0.0044740555851557","0.003614846613059677","0.6704550394076216","1.0"
"641 医療","0.006987209083046671","0.19780388504530352","0.7952089058716497","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"642 保健衛生","0.2003816083183961","0.16103403354381876","0.5965277558062756","0.006343782598670808","0.0013719172622464362","0.0020585825986315703","0.0006535477861218864","0.00006648947076289613","0.03156228261507579","1.0"
"643 社会保険・社会福祉","0.0006356400619058147","0.43568980764978993","0.5421456997567986","0.02152885253150564","0.0","0.0","0.0","0.0","0.0","1.0"
"644 介護","0.0","0.04226417576634653","0.9577358242336534","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"659 その他の非営利団体サービス","0.002845752642503958","0.6428826143912025","0.013400424034246723","0.0010885368707814532","0.005188982648028936","0.0066494600261456606","0.0005923419794124715","0.00024964546333690313","0.3271022419443412","1.0"
"661 物品賃貸サービス","0.009797545372260198","0.22667975591213813","0.13215524023160155","0.021176592128005444","0.10869145573227941","0.11311548496242706","0.001875817036309569","0.0008971625607688112","0.3856109460642098","1.0"
"662 広告","0.015744555155745524","0.36844618951478275","0.05625314616025073","0.008847877503217036","0.017265329689084948","0.03231855730218227","0.0026683904016212446","0.0017147332740552886","0.4967412209990604","1.0"
"663 自動車整備・機械修理","0.0077842072236572","0.4518226979322822","0.07882676163527763","0.02043536098329862","0.03815613487236406","0.039630257595872416","0.0029199288410454915","0.0012479661307323532","0.3591766847854698","1.0"
"669 その他の対事業所サービス","0.009595960477124143","0.32401402094733595","0.13561053667139353","0.02501995705856377","0.09942893178471052","0.1322956046535931","0.0017450864735647398","0.0009684243500030841","0.27132147758371117","1.0"
"671 宿泊業","0.01916212859316264","0.045938557253847455","0.0","0.0","0.0","0.0","0.0","0.0","0.93489931415299","1.0"
"672 飲食サービス","0.2334649509059312","0.688021136248639","0.022577084052792327","0.00010176113984774913","0.00030581570857804414","0.0004220158487011173","0.000021892009757609197","0.000006634871302912404","0.055078709214450024","1.0"
"673 洗濯・理容・美容・浴場業","0.007932028301314684","0.788842903975603","0.1362203883942966","0.0009121491109681177","0.0007721494007177867","0.0007702449949144217","0.000046428177553568226","0.000019199018009532305","0.06448450862662236","1.0"
"674 娯楽サービス","0.12054276581926227","0.7604519174613984","0.002193460308697846","0.0002943392494547301","0.0009063145097287367","0.0013404826160468592","0.00002634558016541677","0.000018191303725642583","0.1142261831515198","1.0"
"679 その他の対個人サービス","0.012668342216323018","0.9457057217989002","0.00892607054830666","0.0012641839742995248","0.002572191197509077","0.0035329824850531574","0.0001307804640226985","0.00015286737550817802","0.025046859940077448","1.0"
"681 事務用品","-","-","-","-","-","-","-","-","-","-"
"691 分類不明","-","-","-","-","-","-","-","-","-","-"
"平均","0.011128432948273972","0.3327389439020924","0.1580842582257389","0.024440934752266632","0.03543457996714836","0.04714244026049382","0.003720498380569346","0.0012020181013428712","0.38610789346207375","1.0"
